data,volume_total,volume_p2,volume_p3,volume_outras_prioridades
2025-05-07,125,13,89,23
2025-05-08,119,7,84,28
2025-05-09,109,16,71,22
2025-05-10,73,5,44,24
2025-05-11,38,14,11,13
2025-05-12,151,43,87,21
2025-05-13,111,9,89,13
2025-05-14,149,16,74,59
2025-05-15,165,25,109,31
2025-05-16,125,20,76,29
2025-05-17,52,10,26,16
2025-05-18,35,7,15,13
2025-05-19,117,19,74,24
2025-05-20,130,32,80,18
2025-05-21,127,20,86,21
2025-05-22,194,24,131,39
2025-05-23,146,15,96,35
2025-05-24,90,11,49,30
2025-05-25,54,7,13,34
2025-05-26,114,21,67,26
2025-05-27,127,20,89,18
2025-05-28,160,23,110,27
2025-05-29,129,16,82,31
2025-05-30,134,28,83,23
2025-05-31,61,10,36,15
2025-06-01,42,8,21,13
2025-06-02,127,10,83,34
2025-06-03,120,26,66,28
2025-06-04,178,24,87,67
2025-06-05,134,49,63,22
2025-06-06,128,22,83,23
2025-06-07,90,17,50,23
2025-06-08,52,7,27,18
2025-06-09,170,14,126,30
2025-06-10,155,29,108,18
2025-06-11,152,35,100,17
2025-06-12,119,30,67,22
2025-06-13,91,9,58,24
2025-06-14,54,11,31,12
2025-06-15,84,12,29,43
2025-06-16,180,20,115,45
2025-06-17,150,24,95,31
2025-06-18,143,16,86,41
2025-06-19,77,14,39,24
2025-06-20,85,10,48,27
2025-06-21,69,8,29,32
2025-06-22,42,11,15,16
2025-06-23,115,18,73,24
2025-06-24,127,20,81,26
2025-06-25,160,48,80,32
2025-06-26,386,256,94,36
2025-06-27,130,24,78,28
2025-06-28,56,12,24,20
2025-06-29,38,7,23,8
2025-06-30,104,15,61,28
2025-07-01,110,11,74,25
2025-07-02,120,14,82,24
2025-07-03,149,30,56,63
2025-07-04,104,16,56,32
2025-07-05,73,31,26,16
2025-07-06,25,5,11,9
2025-07-07,100,17,57,26
2025-07-08,150,31,74,45
2025-07-09,83,20,49,14
2025-07-10,163,49,83,31
2025-07-11,114,14,82,18
2025-07-12,57,10,33,14
2025-07-13,48,12,22,14
2025-07-14,119,27,71,21
2025-07-15,120,18,83,19
2025-07-16,141,19,78,44
2025-07-17,110,16,72,22
2025-07-18,107,13,76,18
2025-07-19,52,4,25,23
2025-07-20,28,5,9,14
2025-07-21,129,9,98,22
2025-07-22,112,7,78,27
2025-07-23,134,15,86,33
2025-07-24,113,9,81,23
2025-07-25,120,15,70,35
2025-07-26,156,97,39,20
2025-07-27,42,8,12,22
2025-07-28,159,28,78,53
2025-07-29,198,35,111,52
2025-07-30,150,36,85,29
2025-07-31,162,15,104,43
2025-08-01,126,14,89,23
2025-08-02,79,11,41,27
2025-08-03,26,9,7,10
2025-08-04,130,11,102,17
2025-08-05,150,25,97,28
2025-08-06,115,10,82,23
2025-08-07,176,55,98,23
2025-08-08,191,29,132,30
2025-08-09,66,19,30,17
2025-08-10,46,12,24,10
2025-08-11,141,20,95,26
2025-08-12,159,27,111,21
2025-08-13,158,23,108,27
2025-08-14,203,20,163,20
2025-08-15,133,38,70,25
2025-08-16,84,12,48,24
2025-08-17,51,10,19,22
2025-08-18,191,73,92,26
2025-08-19,192,24,129,39
2025-08-20,130,22,74,34
2025-08-21,155,25,96,34
2025-08-22,126,20,78,28
2025-08-23,80,28,29,23
2025-08-24,70,7,50,13
2025-08-25,131,21,83,27
2025-08-26,248,119,99,30
2025-08-27,123,10,85,28
2025-08-28,222,26,124,72
2025-08-29,148,25,94,29
2025-08-30,93,8,55,30
2025-08-31,53,8,20,25
2025-09-01,874,39,125,710
2025-09-02,1153,296,171,686
2025-09-03,1073,41,114,918
2025-09-04,1280,187,151,942
2025-09-05,1030,56,149,825
2025-09-06,455,42,63,350
2025-09-07,369,34,62,273
2025-09-08,511,55,167,289
2025-09-09,602,57,154,391
2025-09-10,678,79,276,323
2025-09-11,522,42,174,306
2025-09-12,635,58,259,318
2025-09-13,566,23,110,433
2025-09-14,492,21,72,399
2025-09-15,673,96,198,379
2025-09-16,597,42,174,381
2025-09-17,593,52,187,354
2025-09-18,600,66,165,369
2025-09-19,679,70,164,445
2025-09-20,717,73,168,476
2025-09-21,681,46,105,530
2025-09-22,1431,85,849,497
2025-09-23,893,250,240,403
2025-09-24,674,180,182,312
2025-09-25,628,66,155,407
2025-09-26,654,30,243,381
2025-09-27,564,22,109,433
2025-09-28,505,20,72,413
2025-09-29,659,39,160,460
2025-09-30,773,62,191,520
2025-10-01,733,47,141,545
2025-10-02,885,110,223,552
2025-10-03,1063,109,323,631
2025-10-04,740,37,130,573
2025-10-05,553,13,103,437
2025-10-06,723,27,236,460
2025-10-07,1098,272,162,664
2025-10-08,999,67,204,728
2025-10-09,1074,93,174,807
2025-10-10,1049,140,219,690
2025-10-11,540,12,98,430
2025-10-12,499,18,72,409
2025-10-13,627,72,100,455
2025-10-14,777,100,137,540
2025-10-15,709,117,153,439
2025-10-16,936,386,149,401
2025-10-17,533,50,121,362
2025-10-18,615,42,99,474
2025-10-19,531,31,101,399
2025-10-20,592,73,129,390
2025-10-21,711,77,190,444
2025-10-22,857,143,182,532
2025-10-23,756,130,182,444
2025-10-24,1022,209,299,514
2025-10-25,599,24,74,501
2025-10-26,546,31,123,392
2025-10-27,568,48,120,400
2025-10-28,678,68,181,429
2025-10-29,616,35,185,396
2025-10-30,624,43,186,395
2025-10-31,764,79,298,387
2025-11-01,574,58,99,417
2025-11-02,556,44,95,417
2025-11-03,564,84,119,361
2025-11-04,546,69,133,344
2025-11-05,1273,684,225,364
2025-11-06,529,58,140,331
2025-11-07,630,93,165,372
2025-11-08,590,50,128,412
2025-11-09,519,35,69,415
2025-11-10,665,64,209,392
2025-11-11,627,64,131,432
2025-11-12,692,107,206,379
2025-11-13,621,67,182,372
2025-11-14,583,58,105,420
2025-11-15,546,47,71,428
2025-11-16,538,23,69,446
2025-11-17,764,138,104,522
2025-11-18,774,89,111,574
2025-11-19,713,52,87,574
2025-11-20,816,243,56,517
2025-11-21,920,246,155,519
2025-11-22,892,148,212,532
2025-11-23,874,55,193,626
2025-11-24,934,112,269,553
2025-11-25,756,48,203,505
2025-11-26,905,85,282,538
2025-11-27,771,56,188,527
2025-11-28,824,62,237,525
2025-11-29,721,39,124,558
2025-11-30,807,91,100,616
2025-12-01,998,198,267,533
2025-12-02,782,67,220,495
2025-12-03,729,70,206,453
2025-12-04,744,45,188,511
2025-12-05,872,47,252,573
2025-12-06,751,22,130,599
2025-12-07,738,54,111,573
2025-12-08,772,74,170,528
2025-12-09,881,78,223,580
2025-12-10,801,73,178,550
2025-12-11,741,46,116,579
2025-12-12,727,45,141,541
2025-12-13,761,72,193,496
2025-12-14,695,54,173,468
2025-12-15,863,175,278,410
2025-12-16,1076,54,356,666
2025-12-17,1025,46,243,736
2025-12-18,1005,101,300,604
2025-12-19,839,34,358,447
2025-12-20,984,64,339,581
2025-12-21,1104,32,434,638
2025-12-22,1370,181,624,565
2025-12-23,1122,83,565,474
2025-12-24,929,35,516,378
2025-12-25,704,20,379,305
2025-12-26,910,34,420,456
2025-12-27,1027,53,502,472
2025-12-28,829,46,391,392
2025-12-29,921,57,515,349
2025-12-30,866,29,468,369
2025-12-31,755,15,372,368
